CC or CH,Apartment Name,CC_ID,Priority_Last Date,Priority,Add,District,City,Latitude,Longitude,CL Apartment Name,Ngày hoàn thành,Handover Y-Q,Quantity,Ngày bàn giao cuối cùng,Số Lượng Biệt Thự,Price/m2,rating,user_ratings_total,business_status,place_id,Total Population,Total Households,Average Household Size,CC_Segment,Sales,que_point,Close_Store
CC,Galaxy Long Hải Village,,,0,"Đường số 36, thuộc thị trấn Long Hải,Long Điền,Bà Rịa - Vũng Tàu",Long Điền,Bà Rịa - Vũng Tàu,10.395902,107.2370874,,2020-12-30 0:00:00,2020-4,,,,,,,,,,,,,,,
CC,Ocean Gate,,,0,"Quốc lộ 55,Bình Châu,Xuyên Mộc,Bà Rịa - Vũng Tàu",Xuyên Mộc,Bà Rịa - Vũng Tàu,10.5765185,107.5504736,,,,,,,,,,,,,,,,,,
CC,Baria City Gate,,,0,"Quốc lộ 51,Kim Dinh,Bà Rịa,Bà Rịa - Vũng Tàu",Bà Rịa,Bà Rịa - Vũng Tàu,10.4998254,107.1306525,,,,,,255,,,,,,,,,,,,
CC,Khu dân cư số 1 – Tây Nam Long Điền,,,0,"Thị trấn Long Điền,Long Điền,Bà Rịa - Vũng Tàu",Long Điền,Bà Rịa - Vũng Tàu,10.4812576,107.2104935,,,,,,,,,,,,,,,,,,
CC,Ecotown Phú Mỹ,,,0,"Đường Trường Chinh (Tỉnh lộ 81),Bà Rịa - Vũng Tàu",Đường Trường Chinh (Tỉnh lộ 81),Bà Rịa - Vũng Tàu,10.5967985,107.0642273,,2024-12-30 0:00:00,2024-4,,,,,,,,,,,,,,,
CC,Khu dân cư Lê Trọng Tấn,,,0,"Đường Lê Trọng Tấn, phường Tân Hưng,Bà Rịa,Bà Rịa - Vũng Tàu",Bà Rịa,Bà Rịa - Vũng Tàu,10.5307603,107.1700625,,,,,,,,,,,,,,,,,,
CC,Moon Lake,,,0,"Tỉnh lộ 44A,An Ngãi,Long Điền,Bà Rịa - Vũng Tàu",Long Điền,Bà Rịa - Vũng Tàu,10.4568313,107.2121923,,2018-12-30 0:00:00,2018-4,,,,,,,,,,,,,,,
CC,Lan Rừng Phước Hải,,,0,"Tỉnh lộ 44A, thị trấn Phước Hải,Phước Hải,Đất Đỏ,Bà Rịa - Vũng Tàu",Đất Đỏ,Bà Rịa - Vũng Tàu,10.4070909,107.2779949,,2018-03-30 0:00:00,2018-1,130,,,,,,,,,,,,,,
CC,Eco Dragon,,,0,"Đường Võ Ngọc Chấn,Long Hương,Bà Rịa,Bà Rịa - Vũng Tàu",Bà Rịa,Bà Rịa - Vũng Tàu,10.5082628,107.1651762,,,,,,,,,,,,,,,,,,
CC,Khang Gia Hân Residence,,,0,"Đại lộ 51B,Phường 11,Vũng Tàu,Bà Rịa - Vũng Tàu",Vũng Tàu,Bà Rịa - Vũng Tàu,10.3954512,107.1337078,,,,,,,,,,,,,,,,,,
CC,Phú Mỹ Gold Villas,,,0,"Đường Tập Đoàn 7,Mỹ Xuân,Phú Mỹ,Bà Rịa - Vũng Tàu",Phú Mỹ,Bà Rịa - Vũng Tàu,10.6378524,107.0825396,,2020-12-31 0:00:00,2020-4,,,196,,,,,,,,,,,,
CC,Apec Aqua Park,CCBGI0001,,0,"Đường Nguyễn Văn Cừ, phường Ngô Quyền, TP. Bắc Giang.,Ngô Quyền,Bắc Giang,Bắc Giang",Bắc Giang,Bắc Giang,21.27714,106.1946,Apec Aqua Park,12/30/2019,2019-4,945,,,,,,,,,,,Trung bình,,,
CC,Việt Yên Lakeside City,CCBGI0002,,0,"Quốc lộ 37,Bích Động,Việt Yên,Bắc Giang",Việt Yên,Bắc Giang,21.2729689,106.1005024,,2020-03-31 0:00:00,2020-1,,,,,,,,,,,,,,,
CC,Khu đô thị Kosy Bắc Giang,CCBGI0003,,0,"Xương Giang,Bắc Giang,Bắc Giang",Bắc Giang,Bắc Giang,21.2937393,106.2139724,,2019-12-31 0:00:00,2019-4,,,49,,,,,,,,,,,,
CC,Khu đô thị Dĩnh Trì,CCBGI0004,,0,"Tỉnh lộ 299,Dĩnh Trì,Bắc Giang,Bắc Giang",Bắc Giang,Bắc Giang,21.2832972,106.2512927,,,,,,,,,,,,,,,,,,
CC,Bách Việt Lake Garden,CCBGI0005,,0,"Đường Lê Lợi,Dĩnh Kế,Bắc Giang,Bắc Giang",Bắc Giang,Bắc Giang,21.2828464,106.2177166,,2038-01-19 0:00:00,2038-1,328,,130,,,,,,,,,,,,
