fid,Total Population,Total Households,Average Household Size
819073,44356,9944,4.46
819074,44140,9921,4.45
819075,35793,8181,4.38
819076,35768,8376,4.27
819077,15009,3633,4.13
819078,1371,371,3.7
819079,2681,725,3.7
819080,2078,562,3.7
819081,2821,763,3.7
820701,13645,3689,3.7
820702,15886,4300,3.69
820703,12887,3488,3.69
820704,14712,3938,3.74
820705,28516,7325,3.89
820706,35361,9082,3.89
820707,18406,4713,3.91
820708,103,25,4.12
820709,7936,1925,4.12
820710,12494,3030,4.12
820711,26709,6478,4.12
820712,29744,7214,4.12
820713,29777,7222,4.12
820714,36947,8599,4.3
820715,40062,8990,4.46
820716,45155,10249,4.41
820717,40815,9442,4.32
820718,30721,7380,4.16
820719,13510,3406,3.97
820720,4954,1340,3.7
820721,4037,1092,3.7
820722,4164,1126,3.7
820723,4081,1104,3.7
822343,789,214,3.69
822344,1188,322,3.69
822345,2259,611,3.7
822346,5983,1619,3.7
822347,25869,6663,3.88
822348,34050,8745,3.89
822349,35208,9024,3.9
822350,8047,2018,3.99
822351,15932,3864,4.12
822352,26286,6375,4.12
822353,30965,7510,4.12
822354,32709,7923,4.13
822355,36461,8742,4.17
822356,38990,9279,4.2
822357,42742,10055,4.25
822358,44550,10327,4.31
822359,40292,9542,4.22
822360,31287,7528,4.16
822361,9771,2435,4.01
822362,2532,685,3.7
822363,1571,425,3.7
822364,85,23,3.7
822365,630,170,3.71
823985,86,23,3.74
823986,2427,657,3.69
823987,1459,395,3.69
823988,3501,947,3.7
823989,8153,2099,3.88
823990,31348,8051,3.89
823991,30817,7915,3.89
823992,19500,4967,3.93
823993,22838,5602,4.08
823994,28257,6724,4.2
823995,30009,7018,4.28
823996,35672,8331,4.28
823997,39743,9462,4.2
823998,36097,8599,4.2
823999,40339,9610,4.2
824000,40527,9440,4.29
824001,37892,8978,4.22
824002,33013,7964,4.15
824003,9293,2454,3.79
824004,687,186,3.69
824005,46,12,3.54
824006,92,25,3.68
824007,928,235,3.95
825627,2055,556,3.7
