fid,Total Population,Total Households,Average Household Size
671746,29226,7773,3.76
671747,28107,7335,3.83
671748,27760,7244,3.83
671749,30466,7994,3.81
671750,23631,6375,3.71
671751,20441,5802,3.52
671752,14206,4039,3.52
671753,15586,4431,3.52
671754,16904,4799,3.52
671755,10388,2937,3.54
671756,12800,3619,3.54
671757,9456,2674,3.54
671758,2298,650,3.54
671759,1532,433,3.54
671760,1962,549,3.58
671761,2171,563,3.86
673373,1346,374,3.6
673374,4325,1203,3.6
673375,1954,543,3.6
673376,541,151,3.58
673377,451,125,3.61
673378,1804,502,3.59
673379,1878,522,3.6
673380,1489,414,3.6
673381,2706,753,3.59
673382,1961,544,3.6
673383,177,49,3.61
673384,0,0,0
673385,3273,884,3.7
673386,19959,5341,3.74
673387,33413,8918,3.75
673388,31491,8402,3.75
673389,32472,8399,3.87
673390,29181,7545,3.87
673391,30622,7981,3.84
673392,19290,5474,3.52
673393,13233,3762,3.52
673394,5886,1673,3.52
673395,5151,1464,3.52
673396,4365,1237,3.53
673397,7661,2166,3.54
673398,3584,1013,3.54
673399,5958,1685,3.54
673400,9924,2806,3.54
673401,5570,1575,3.54
673402,7282,2030,3.59
673403,5292,1381,3.83
675015,2122,590,3.6
675016,4693,1305,3.6
675017,1624,452,3.59
675018,226,63,3.59
675019,1232,343,3.59
675020,677,188,3.6
675021,1473,410,3.59
675022,2010,559,3.6
675023,857,238,3.6
675024,1104,307,3.6
675025,2067,574,3.6
675026,2890,802,3.6
675027,2829,785,3.6
675028,3079,849,3.63
675029,8958,2391,3.75
675030,18142,4840,3.75
675031,26674,6897,3.87
675032,27635,7145,3.87
675033,28835,7519,3.83
675034,20460,5683,3.6
675035,7934,2255,3.52
675036,2789,793,3.52
675037,6484,1843,3.52
675038,3686,1048,3.52
675039,1872,529,3.54
675040,2870,812,3.53
675041,3256,921,3.54
675042,3879,1097,3.54
675043,1802,510,3.53
675044,2577,685,3.76
675045,3330,860,3.87
676658,5486,1526,3.6
676659,1835,510,3.6
676660,1619,450,3.6
676661,7946,2210,3.6
676662,1586,441,3.6
676663,293,82,3.57
676664,2389,664,3.6
676665,3473,966,3.6
676666,3438,956,3.6
676667,3803,1055,3.6
676668,1996,554,3.6
676669,7297,2024,3.61
676670,9102,2525,3.6
676671,3061,849,3.61
676672,399,111,3.59
676673,1822,481,3.79
676674,17912,4631,3.87
676675,24838,6449,3.85
676676,12972,3688,3.52
676677,7157,2034,3.52
676678,10751,3056,3.52
676679,9807,2788,3.52
676680,2964,843,3.52
676681,2729,772,3.53
676682,1676,474,3.54
676683,2490,704,3.54
676684,3017,853,3.54
676685,3974,1124,3.54
676686,931,244,3.82
676687,716,185,3.87
678300,1807,502,3.6
678301,1726,480,3.6
678302,541,151,3.58
678303,2474,688,3.6
678304,1445,402,3.59
678305,2018,561,3.6
678306,992,276,3.59
678307,3580,996,3.59
678308,4826,1340,3.6
678309,6672,1851,3.6
678310,4406,1222,3.61
678311,9591,2660,3.61
678312,7358,2041,3.61
678313,4202,1166,3.6
678314,1819,504,3.61
678315,1501,416,3.61
678316,6561,1737,3.78
678317,15760,4274,3.69
678318,7629,2169,3.52
678319,10606,3015,3.52
678320,13002,3696,3.52
678321,1820,517,3.52
678322,1204,342,3.52
678323,1642,466,3.52
678324,192,54,3.56
678325,958,271,3.54
678326,3543,1002,3.54
678327,1963,554,3.54
678328,788,205,3.84
678329,477,123,3.88
679942,45,13,3.46
679943,316,88,3.59
679944,406,113,3.59
679945,928,258,3.6
679946,1132,315,3.59
679947,1242,345,3.6
679948,1353,376,3.6
679949,1443,401,3.6
679950,2485,689,3.61
679951,9152,2539,3.6
679952,9657,2679,3.6
679953,6380,1770,3.6
679954,3107,862,3.6
679955,2901,805,3.6
679956,4257,1181,3.6
679957,310,86,3.6
679958,266,74,3.59
679959,4948,1407,3.52
679960,4692,1334,3.52
679961,10392,2954,3.52
679962,2362,671,3.52
679963,513,146,3.51
679964,4818,1370,3.52
679965,795,219,3.63
679966,349,93,3.75
679967,192,54,3.56
679968,2538,718,3.53
679969,3304,934,3.54
679970,3225,864,3.73
681585,90,25,3.6
681586,1251,348,3.59
681587,976,271,3.6
681588,451,125,3.61
681589,406,113,3.59
681590,3073,853,3.6
681591,1668,464,3.59
681592,4942,1371,3.6
681593,6890,1911,3.61
681594,9028,2504,3.61
681595,2860,793,3.61
681596,6616,1835,3.61
681597,6433,1784,3.61
681598,6680,1853,3.6
681599,621,172,3.61
681600,444,123,3.61
681601,2219,624,3.56
681602,6358,1807,3.52
681603,1388,395,3.51
681604,893,254,3.52
681605,914,260,3.52
681606,628,168,3.74
681607,60,16,3.75
681608,60,16,3.75
681609,0,0,0
681610,1006,284,3.54
681611,910,257,3.54
681612,2316,633,3.66
683227,2526,702,3.6
683228,1173,326,3.6
683229,1469,395,3.72
683230,1266,338,3.75
683231,1377,367,3.75
683232,4465,1194,3.74
683233,4251,1140,3.73
683234,7057,1958,3.6
683235,4218,1170,3.61
683236,6121,1698,3.6
683237,3371,935,3.61
683238,7321,2031,3.6
683239,8425,2337,3.61
683240,8465,2348,3.61
683241,2505,695,3.6
683242,2439,669,3.65
683243,1725,463,3.73
683244,2128,591,3.6
683245,2296,631,3.64
683246,1635,436,3.75
683247,1414,383,3.69
683248,963,263,3.66
683249,346,94,3.68
683250,1145,305,3.75
683251,589,159,3.7
683252,968,274,3.53
683253,0,0,0
684870,4472,1238,3.61
684871,1374,366,3.75
684872,713,190,3.75
684873,2370,632,3.75
684874,5990,1598,3.75
684875,5552,1481,3.75
684876,1754,487,3.6
684877,2982,827,3.61
684878,5446,1511,3.6
684879,6945,1926,3.61
684880,8919,2474,3.61
684881,9136,2534,3.61
684882,6357,1763,3.61
684883,3464,952,3.64
684884,1371,369,3.72
684885,1718,458,3.75
684886,1696,452,3.75
684887,7420,1979,3.75
684888,3574,967,3.7
684889,1860,512,3.63
684890,1173,323,3.63
684891,112,31,3.61
684892,703,190,3.7
684893,223,61,3.66
684894,391,108,3.62
686513,4618,1266,3.65
686514,3347,893,3.75
686515,4042,1078,3.75
686516,10396,2773,3.75
686517,2094,558,3.75
686518,1673,450,3.72
686519,996,276,3.61
686520,1020,283,3.6
686521,3378,937,3.61
686522,6203,1721,3.6
686523,5438,1508,3.61
686524,4053,1116,3.63
686525,1674,448,3.74
686526,964,257,3.75
686527,452,121,3.74
686528,1718,458,3.75
686529,3195,852,3.75
686530,3519,966,3.64
686531,5839,1608,3.63
686532,4599,1266,3.63
686533,6732,1854,3.63
686534,2092,576,3.63
686535,670,184,3.64
686536,2010,553,3.63
688156,4714,1291,3.65
688157,4923,1333,3.69
688158,2105,563,3.74
688159,3452,921,3.75
688160,2795,745,3.75
688161,1025,273,3.75
688162,922,251,3.67
688163,1643,441,3.73
688164,4214,1150,3.66
688165,4044,1091,3.71
688166,5177,1381,3.75
688167,4295,1146,3.75
688168,4657,1242,3.75
688169,1085,289,3.75
