fid,Total Population,Total Households,Average Household Size
828910,3058,1102,2.77
830535,3704,1114,3.32
830536,3398,1022,3.32
830537,2541,763,3.33
830538,2284,686,3.33
830539,1490,447,3.33
830540,1593,477,3.34
830541,4726,1588,2.98
830542,7832,2842,2.76
830543,7158,2598,2.76
830544,7631,2769,2.76
830545,8649,3139,2.76
830546,6639,2409,2.76
830547,6401,2323,2.76
830548,5616,2038,2.76
830549,5441,1975,2.75
830550,8847,3211,2.76
830551,8185,2971,2.75
830552,7132,2588,2.76
832177,2986,897,3.33
832178,856,257,3.33
832179,613,183,3.35
832180,853,255,3.35
832181,951,284,3.35
832182,2598,776,3.35
832183,4487,1489,3.01
832184,8825,3203,2.76
832185,8179,2968,2.76
832186,9958,3614,2.76
832187,10437,3788,2.76
832188,8209,2979,2.76
832189,9093,3300,2.76
832190,8332,3024,2.76
832191,8707,3160,2.76
832192,8665,3145,2.76
832193,8113,2945,2.75
832194,9544,3368,2.83
833819,441,132,3.34
833820,430,128,3.36
833821,254,76,3.34
833822,410,122,3.36
833823,620,185,3.35
833824,2396,716,3.35
833825,2848,862,3.3
833826,7932,2867,2.77
833827,8040,2918,2.76
833828,7514,2727,2.76
833829,7786,2826,2.76
833830,7416,2692,2.75
833831,8377,3040,2.76
833832,7861,2853,2.76
833833,7846,2847,2.76
833834,8785,3188,2.76
833835,7938,2881,2.76
833836,7693,2786,2.76
835461,2683,802,3.35
835462,1307,391,3.34
835463,922,276,3.34
835464,394,118,3.34
835465,232,69,3.36
835466,1886,564,3.34
835467,2781,831,3.35
835468,5758,2029,2.84
835469,7988,2899,2.76
835470,8636,3134,2.76
835471,7267,2637,2.76
835472,7611,2762,2.76
835473,8592,3118,2.76
835474,7185,2608,2.75
835475,8260,2998,2.76
835476,9010,3270,2.76
835477,8038,2917,2.76
835478,7787,2826,2.76
837103,2723,814,3.35
837104,2628,785,3.35
837105,2636,788,3.35
837106,826,247,3.34
837107,166,50,3.32
837108,1196,357,3.35
837109,2874,859,3.35
837110,3824,1233,3.1
837111,6615,2339,2.83
837112,8851,3212,2.76
837113,8735,3165,2.76
837114,8297,2978,2.79
837115,9030,3277,2.76
837116,8716,3029,2.88
837117,8183,2771,2.95
