fid,Total Population,Total Households,Average Household Size
912697,3312,869,3.81
912698,231,61,3.79
912699,80,21,3.81
912700,0,0,0.0
912701,0,0,0.0
912702,0,0,0.0
912703,0,0,0.0
912704,195,53,3.68
912705,798,215,3.71
912706,2415,651,3.71
912707,2851,769,3.71
912708,1383,373,3.71
912709,661,178,3.71
912710,195,53,3.68
914328,91,22,4.14
914329,368,92,4.0
914330,92,23,4.0
914331,1161,296,3.92
914332,976,248,3.94
914333,578,147,3.93
914334,697,177,3.94
914335,172,45,3.82
914336,1217,319,3.82
914337,1264,332,3.81
914338,1859,488,3.81
914339,4252,1116,3.81
914340,2139,561,3.81
914341,168,44,3.82
914342,288,76,3.79
914343,216,58,3.72
914344,49,13,3.77
914345,49,13,3.77
914346,536,145,3.7
914347,843,227,3.71
914348,2563,691,3.71
914349,2054,554,3.71
914350,0,0,0.0
914351,0,0,0.0
914352,0,0,0.0
915971,182,44,4.14
915972,92,23,4.0
915973,273,66,4.14
915974,447,111,4.03
915975,374,94,3.98
915976,286,75,3.81
915977,327,86,3.8
915978,629,165,3.81
915979,579,152,3.81
915980,2707,710,3.81
915981,5541,1454,3.81
915982,5309,1393,3.81
915983,1224,321,3.81
915984,0,0,0.0
915985,183,49,3.73
915986,1761,475,3.71
915987,1038,280,3.71
915988,195,53,3.68
915989,0,0,0.0
915990,1472,397,3.71
915991,668,180,3.71
915992,0,0,0.0
915993,0,0,0.0
917613,455,110,4.14
917614,637,154,4.14
917615,91,22,4.14
917616,45,11,4.09
917617,227,55,4.13
917618,45,11,4.09
917619,147,39,3.77
917620,168,44,3.82
917621,336,88,3.82
917622,3104,814,3.81
917623,4630,1215,3.81
917624,4828,1267,3.81
917625,1796,471,3.81
917626,0,0,0.0
917627,0,0,0.0
917628,0,0,0.0
917629,0,0,0.0
917630,0,0,0.0
917631,1101,297,3.71
917632,838,226,3.71
917633,0,0,0.0
917634,4166,1038,4.01
919255,91,22,4.14
919256,455,110,4.14
919257,182,44,4.14
919258,91,22,4.14
919259,364,88,4.14
919260,463,113,4.1
919261,147,39,3.77
919262,650,171,3.8
919263,551,145,3.8
919264,3722,977,3.81
919265,4441,1165,3.81
919266,4872,1278,3.81
919267,2226,584,3.81
919268,43,11,3.91
919269,0,0,0.0
919270,0,0,0.0
919271,0,0,0.0
919272,0,0,0.0
919273,0,0,0.0
919274,560,140,4.0
919275,2306,575,4.01
919276,1332,332,4.01
920897,1137,275,4.13
920898,1955,473,4.13
920899,818,198,4.13
920900,364,88,4.14
920901,806,206,3.91
920902,1091,286,3.81
920903,796,209,3.81
920904,923,242,3.81
920905,919,241,3.81
920906,1394,366,3.81
920907,3809,999,3.81
920908,7026,1786,3.93
920909,7294,1826,3.99
920910,958,239,4.01
920911,113,28,4.04
920912,0,0,0.0
920913,0,0,0.0
920914,0,0,0.0
920915,0,0,0.0
920916,170,42,4.05
920917,2673,666,4.01
920918,517,129,4.01
922538,318,77,4.13
922539,2319,561,4.13
922540,1955,473,4.13
922541,1250,303,4.13
922542,841,204,4.12
922543,411,102,4.03
922544,378,99,3.82
922545,629,165,3.81
922546,1086,285,3.81
922547,960,252,3.81
922548,850,223,3.81
922549,1114,292,3.82
922550,9959,2489,4.0
922551,12092,3014,4.01
922552,6093,1519,4.01
922553,1943,484,4.01
922554,379,95,3.99
922555,0,0,0.0
922556,0,0,0.0
922557,0,0,0.0
922558,801,200,4.0
922559,1670,416,4.01
922560,279,70,3.99
922561,0,0,0.0
924180,227,55,4.13
924181,864,209,4.13
924182,500,121,4.13
924183,1069,259,4.13
924184,752,184,4.09
924185,322,83,3.88
924186,357,94,3.8
924187,393,103,3.82
924188,860,226,3.81
924189,944,248,3.81
924190,336,88,3.82
924191,208,54,3.85
924192,7967,1987,4.01
924193,13518,3369,4.01
924194,4978,1241,4.01
924195,451,112,4.03
924196,570,142,4.01
924197,451,112,4.03
924198,868,216,4.02
924199,801,200,4.0
924200,1945,485,4.01
924201,1100,274,4.01
924202,436,109,4.0
924203,0,0,0.0
924204,0,0,0.0
925822,854,207,4.13
925823,1091,264,4.13
925824,546,132,4.14
925825,91,22,4.14
925826,463,113,4.1
925827,764,190,4.02
925828,378,99,3.82
925829,504,132,3.82
925830,965,253,3.81
925831,671,176,3.81
925832,168,44,3.82
925833,563,140,4.02
925834,777,194,4.01
925835,6891,1718,4.01
925836,3617,902,4.01
925837,2293,572,4.01
925838,1183,295,4.01
925839,0,0,0.0
925840,113,28,4.04
925841,940,234,4.02
925842,1677,418,4.01
925843,2534,632,4.01
925844,1728,431,4.01
925845,4085,1018,4.01
925846,100,25,4.0
925847,0,0,0.0
927464,182,44,4.14
927465,182,44,4.14
927466,0,0,0.0
927467,409,99,4.13
927468,500,121,4.13
927469,0,0,0.0
927470,192,50,3.84
927471,483,127,3.8
927472,504,132,3.82
927473,210,55,3.82
927474,253,64,3.95
927475,282,70,4.03
927476,225,56,4.02
927477,620,154,4.03
927478,1183,295,4.01
927479,2535,632,4.01
927480,507,126,4.02
927481,553,138,4.01
927482,394,98,4.02
927483,56,14,4.0
927484,169,42,4.02
927485,507,126,4.02
927486,1620,404,4.01
927487,2386,595,4.01
927488,1469,366,4.01
927489,183,46,3.98
929107,91,22,4.14
929108,273,66,4.14
929109,0,0,0.0
929110,0,0,0.0
929111,258,63,4.1
929112,122,30,4.07
929113,254,65,3.91
929114,189,50,3.78
929115,82,21,3.9
929116,0,0,0.0
929117,0,0,0.0
929118,338,84,4.02
929119,1174,293,4.01
929120,169,42,4.02
929121,901,225,4.0
929122,659,164,4.02
929123,282,70,4.03
929124,736,183,4.02
929125,0,0,0.0
929126,0,0,0.0
929127,225,56,4.02
929128,310,77,4.03
929129,85,21,4.05
929130,603,150,4.02
929131,56,14,4.0
930755,153,40,3.83
930756,122,32,3.81
930757,184,48,3.83
930758,87,22,3.95
930759,296,76,3.89
930760,3451,889,3.88
930761,4069,1047,3.89
930762,184,48,3.83
930763,200,50,4.0
930764,437,109,4.01
930765,245,64,3.83
930766,779,198,3.93
930767,423,110,3.85
930768,31,8,3.88
930769,0,0,0.0
930770,0,0,0.0
930771,0,0,0.0
930772,353,90,3.92
930773,230,58,3.97
932398,0,0,0.0
932399,122,32,3.81
932400,92,24,3.83
932401,1481,386,3.84
932402,5523,1438,3.84
932403,5844,1522,3.84
932404,3211,836,3.84
932405,116,30,3.87
